element_id,date,headline,text
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"There's a pandemic sweeping across the globe. No, not COVID, a different one. For decades, a brutal fungal infection has been decimating amphibians worldwide."
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"""We call it a panzootic,"" said Andrea Adams, an assistant researcher in the Earth Research Institute at UC Santa Barbara. ""It's like a pandemic, only with animals."" "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Scientists are hard at work investigating the disease's origin, trajectory, genetics and impact in an effort to safeguard vulnerable and valuable biodiversity. Biologists from Southern and Baja California have published the first major account and most comprehensive study of the amphibian disease chytridiomycosis in the Mediterranean region of Baja California. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Their results, which appear in Global Ecology and Conservation, indicate the disease is more prevalent on the peninsula than in similar areas of Southern California. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"""Contrary to what we had expected, what's going on in Baja California is very different than what's going on with chytrid fungus in Southern California, where the species are pretty much the same, and the environment is very similar,"" said Adams, the lead author. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Chytrids form a large group of mostly soil-dwelling fungi. They're quite common, and generally pose no harm. However, two species have evolved to infect the skin of amphibians. In highly infected animals, the skin responds by thickening. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"This has a downside. ""You probably heard frogs drink through their skin,"" Adams said. It's true. They also exchange salts and minerals through their skin. So when their skin thickens, it can be a death sentence for many individuals. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"The team wanted to know what environmental and biological factors influence chytrid infection in Baja California, particularly at different elevations. Unfortunately, there has been little research on the topic in the Mediterranean region of Baja California. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"""We knew chytrid was here, but we didn't know how it was affecting different species or which variables mattered most,"" said co-author Anny Peralta-García, director of Conservación de Fauna del Noroeste, a nonprofit organization dedicated to research and conservation in Baja California, especially for less charismatic species. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Along with UCSB professor Cherie Briggs, Adams teamed up with Peralta-García's group and Carlos A. Flores-López, a researcher at the Autonomous University of Baja California, to carry out a survey of the disease in local frogs. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"The scientists collected samples quarterly from November 2015 to October 2016. They visited three sites in Baja California, each at a different elevation. The lowest is a perennial stream about 12 miles south of Ensenada. The area's hot springs make it a popular recreational spot. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"The middlemost location is about 2,000 feet up in the foothills of the Sierra San Pedro Mártir, a mountain range in northern Baja California. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Lastly, the team surveyed a mountain meadow 6,700 feet high in Sierra de San Pedro Mártir National Park, where despite some impacts from livestock, native amphibians still appear to thrive. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"The Mexican team spent two to three days per location catching animals at night. They swabbed the frogs' skin to collect samples of the fungus, then released them back into the wild. Altogether, they collected enough data to analyze the disease prevalence and load in four species, including the endangered California red-legged frog and the invasive American bullfrog. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"""We found that when it comes to chytrid infection, the most important things are where you live and who you are,"" Adams said. In other words, elevation and species. Chytrid infections were more common and more intense at higher elevations, where the cooler, moister environment provides ideal conditions for the fungus. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Some species are also more susceptible to the infection than others. For instance, the California red-legged frog was among the most infected, with the highest observed infection intensity and prevalence compared to other species. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"The team found that chytrid was much more prevalent in Baja California, where 68% of animals they surveyed had the fungus, compared to 15% in Southern California, as observed in a previous study. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"The difference was particularly striking for California red-legged frogs. In another study in Southern California, only 30% of the species was infected. ""In Baja California, we found that 99% of the California red-legged frogs at the highest-elevation site were infected,"" Adams said. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Not only was the disease more prevalent, infected animals also carried a higher pathogen load in Baja California. The team was curious when the fungus first arrived in Baja California. If it appeared recently, that could help explain the high infection intensities compared with Southern California. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"""When the fungus first arrives to a place it can cause die-offs and declines in susceptible species,"" Adams said. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Fortunately, the San Diego Natural History Museum has a wealth of amphibian specimens from Baja California that the team used to investigate the history of chytrid's arrival. The scientists found the fungus in specimens collected as early as 1932. Previous research found the earliest record of chytrid detection from Baja California is 1926. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"For comparison, the first record of the fungus in Southern California was found in specimens from Los Angeles County in 1915. This makes some sense, as invasive species often arrive at ports of entry and then fan out into the landscape. The combined ports of Los Angeles and Long Beach are the largest on the West Coast. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"So, if chytrid has been in both places Baja California and Southern California for about the same amount of time, what could explain the differences the team found? "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Much like the SARS-CoV-2 virus, the chytrid fungus has evolved over time. As the fungus mutates and adapts, more virulent or infectious strains may emerge in different locations. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Understanding what's going on will require long-term monitoring, tracking individuals over time and establishing baselines. ""These data help us prioritize sites that need conservation actions,"" Peralta-García said. ""For example, La Grulla, our highest elevation site, needs to continue to be monitored for disease."" "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"The group is continuing their sampling and rehabilitation work, though getting samples tested will require more funding. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"""Right now, our main focus is trying to increase populations of California red-legged frogs in Baja California and Southern California,"" Peralta-García said. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"They've had success reintroducing eggs, which lack keratin, so are not susceptible to the fungus, to historical sites in California. This means eggs can't transfer the fungus from one site to another. "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Adams does similar work in the United States. ""Anny and I are actually doing very similar things,"" she said. ""We are both working to find the best ways to bring these frogs back to places they've disappeared from, and we learn a lot from each other."" "
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,"Chytrid is always part of the discussion, she added. ""We can still be moving forward on chytrid questions and chytrid monitoring, while also trying to remedy species declines."""
1,2022-04-05,IPCC says it's not too late to avoid climate catastrophe,Endangered California red-legged frog is highly susceptible to chytridiomycosis. (Conservación de Fauna del Noroeste)
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,Scientists have found an invasive species of alpine newt in three counties in Ireland.
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,"The amphibian has been found in five different locations in Co Offaly, Co Tipperary and Co Down."
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,"The alpine newt has the potential to have a detrimental impact on local biodiversity by acting as competition to native species, and by transmitting a disease called chytrid to native amphibian species such as the common frog, smooth newt and natterjack toad."
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,Chytrid has driven many species of frogs to extinction in the tropics.
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,"Zoologist Éinne Ó Cathasaigh, who works with the Herpetological Society of Ireland (HSI), said the alpine newt was most likely introduced here through the pet trade by someone keen to add colour to their garden pond. With gold irises and black pupils, it is one of the most striking species among European newts."
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,"On the HSI's discovery, he added: ""We found them in a disused swimming pool. There were hundreds of them. In Offaly, we've already recorded around 30 this year. They are highly resilient to environmental conditions here and they reproduce very, very quickly."""
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,"Describing the potential threat posed to the local environment if alpine newts harm local amphibians, he said: ""Frogs, for example, are a keystone species. They have a huge impact on our environment. They eat so many insects that we would be overrun without them."
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,"""A huge amount of flies return to stagnant water to breed, and where do frogs also breed? Stagnant water. So they keep the number of flies low."""
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,The HSI is asking people to report any new sightings of alpine newts to the organisation. They normally live in still or slow-moving water that is clear and full of vegetation.
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,"Mr Ó Cathasaigh said the new discovery should should make people more conscious of invasive species, particularly their local area and gardens."
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,"""It is the perfect example of why we need to be a lot more careful of what we introduce. Realistically speaking, when people are building an artificial pond they should leave it, and nature will take care of it. Put a few plants in and amphibians will come,"" he said."
2,2022-04-08,IPCC Adaptation Report: It's Later Than You Think,"Smooth newts, native to Ireland, have a spotted bellyAlpine newt could have a detrimental effect on local ecosystems"
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"The golden toad of Monteverde, in the Costa Rican jungle, disappeared more than three decades ago, a phenomenon that is now cited in UN reports as an example of the consequences of climate change."
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"Until 1989, generations of nature lovers and scientists marveled at the annual spectacle of these tiny, shiny-skinned batrachians emerging from underground to mate after the dry season."
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"It was a spectacle that lasted only a few hours. ""The ground was very dark and the golden toads were silhouetted like figurines,"" recalls Alan Pounds, an ecologist at the Monteverde Biological Reserve in Costa Rica."
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"The golden toad (Bufo periglenes), classified as an anuran amphibian, lived only in the Monteverde jungle."
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"A ""cousin"", the Panamanian golden frog (Atelopus zeteki), is critically endangered due to a fungus."
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,The latest report of the UN panel of climate experts (IPCC) specifically cites the Costa Rican toad as one of the victims of climate change.
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"""Approximately 99% of its population was lost in one year,"" Alan Pounds, whose studies are cited in the IPCC report, explained to AFP."
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"In the case of the Panama batrachian, experts point to the deadly effect of Chytrid Fungus, a ""superfungus"" that was initially detected on the Korean peninsula."
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"Alan Pounds insists that it is climate change, which exacerbated the El Niño phenomenon that periodically affects Latin America, that caused the disappearance of the Costa Rican toad, which other experts attribute to the same deadly fungus."
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"""The disease is the bullet that kills the frogs, but climate change is the one that pulls the trigger,"" Pounds said when he presented his studies."
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"Another animal endemic to the Monteverde reserve, the Harlequin frog, has also practically disappeared, although some scientists claim to have seen some specimens."
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"According to the International Union for Conservation of Nature (IUCN), climate change is a threat to about 12,000 species, of which 6,000 are at risk of extinction."
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,The international community opened formal negotiations to protect the planet's biodiversity this year. The main objective is to protect at least 30% of land and oceans by 2030.
3,2022-04-07,PRESS RELEASE: Heartland Institute Climate Experts React to Latest UN IPCC Report,"But according to experts, the threat is more profound for sites like Monteverde."
